,,29-jul-22,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Ticker,,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
PE&OLES*,,INDUST PENOLES,Equity,0.87,205.08,"2,366,318.00","485,284,495.44","485,284,495.44",Materiales,2448200,MXP554091415,Bolsa Mexicana De Valores,México,MXN,MXN,1
CUERVO*,,BECLE SA DE CV,Equity,0.86,46.14,"10,344,960.00","477,316,454.40","477,316,454.40",Productos básicos de consumo,BYM4063,MX01CU010003,Bolsa Mexicana De Valores,México,MXN,MXN,1
SITES1A-1,,OPERADORA DE SITES MEXICANOS SAD,Equity,0.75,23.86,"17,574,796.00","419,334,632.56","419,334,632.56",Comunicación,BJLD2Y8,MX01SI0C0002,Bolsa Mexicana De Valores,México,MXN,MXN,1
GCC*,,GRUPO CEMENTOS,Equity,0.69,125.99,"3,045,384.00","383,687,930.16","383,687,930.16",Materiales,2946663,MX01GC2M0006,Bolsa Mexicana De Valores,México,MXN,MXN,1
ALSEA*,,ALSEA DE CV,Equity,0.68,39.66,"9,610,379.00","381,147,631.14","381,147,631.14",Consumo discrecional,2563017,MXP001391012,Bolsa Mexicana De Valores,México,MXN,MXN,1
LIVEPOLC.1,,EL PUERTO DE LIVERPOOL C1,Equity,0.62,91.48,"3,791,822.00","346,875,876.56","346,875,876.56",Consumo discrecional,2306814,MXP369181377,Bolsa Mexicana De Valores,México,MXN,MXN,1
BOLSAA,,BOLSA MEXICANA DE VALORES,Equity,0.61,37.94,"9,006,752.00","341,716,170.88","341,716,170.88",Financieros,B39VVF6,MX01BM1B0000,Bolsa Mexicana De Valores,México,MXN,MXN,1
Q*,,QUALITAS CONTROLADORA,Equity,0.6,86.02,"3,898,477.00","335,346,991.54","335,346,991.54",Financieros,BYMXF65,MX01Q0000008,Bolsa Mexicana De Valores,México,MXN,MXN,1
VOLARA,,CONTROLADORA VUELA COMPANIA DE AVI,Equity,0.57,19.97,"15,965,532.00","318,831,674.04","318,831,674.04",Industriales,BDZDPH6,MX01VO000009,Bolsa Mexicana De Valores,México,MXN,MXN,1
RA,,REGIONAL SAB DE CV,Equity,0.49,111.37,"2,456,098.00","273,535,634.26","273,535,634.26",Financieros,BG1Z6X0,MX01R0000006,Bolsa Mexicana De Valores,México,MXN,MXN,1
LABB,,GENOMMA LAB INTERNATIONAL,Equity,0.49,18.95,"14,289,626.00","270,788,412.70","270,788,412.70",Cuidado de la Salud,B3B1C73,MX01LA010006,Bolsa Mexicana De Valores,México,MXN,MXN,1
MEGACPO,,MEGACABLE HOLDINGS CPO,Equity,0.49,47.41,"5,702,115.00","270,337,272.15","270,337,272.15",Comunicación,B292SM8,MX01ME090003,Bolsa Mexicana De Valores,México,MXN,MXN,1
MXN,,MXN CASH,Cash,0.28,100,"153,671,326.00","153,671,325.64","153,671,325.64",Liquidez,-,-,-,México,MXN,MXN,1
 ,,,,,,,,,,,,,,,,
